EventKey,EventName,Origin,AssociatedDisaster,AssociatedDisaster2,MagnitudeValue,MagnitudeScale,OFDA_Response,Appeal,Declaration,CPI
0,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"2,849084409"
1,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"2,849084409"
2,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"2,963047785"
3,Santa Maria,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"2,963047785"
4,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,077011162"
5,Mount Karthala,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"3,077011162"
6,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,077011162"
7,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,077011162"
8,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,077011162"
9,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,9.0,Richter,No,No,No,"3,077011162"
10,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"3,077011162"
11,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"3,077011162"
12,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"3,190974538"
13,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,190974538"
14,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,077011162"
15,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"3,077011162"
16,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"3,190974538"
17,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,190974538"
18,Pneumonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,190974538"
19,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"3,190974538"
20,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"3,190974538"
21,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,190974538"
22,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,1294994.0,Km2,No,Unknown,Unknown,"3,190974538"
23,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,304937914"
24,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,430297628"
25,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,464486641"
26,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,3000.0,Km2,No,Unknown,Unknown,"3,464486641"
27,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,464486641"
28,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,726602407"
29,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"4,38758999"
30,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,38758999"
31,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"4,38758999"
32,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"5,151144611"
33,Influenza,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,151144611"
34,Spanish Influenza,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,151144611"
35,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,937491908"
36,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"5,937491908"
37,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,937491908"
38,Mt. Kelud,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"5,937491908"
39,Name not specified,Unknown Origin,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,9.0,Richter,No,Unknown,Unknown,"6,860595257"
40,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,860595257"
41,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
42,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,860595257"
43,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
44,Cholera,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
45,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,108436973"
46,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,9.0,Richter,No,Unknown,Unknown,"5,732357831"
47,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,732357831"
48,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,732357831"
49,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,5179.0,Km2,No,Unknown,Unknown,"5,732357831"
50,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,834924869"
51,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,834924869"
52,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"5,834924869"
53,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"5,869113882"
54,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"5,869113882"
55,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,869113882"
56,Cholera,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,869113882"
57,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"6,005869934"
58,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,005869934"
59,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"6,005869934"
60,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"6,062851622"
61,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"6,062851622"
62,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,062851622"
63,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"6,062851622"
64,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"6,062851622"
65,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,062851622"
66,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"5,948888246"
67,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"5,948888246"
68,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,948888246"
69,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"5,948888246"
70,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"5,88051022"
71,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,No,No,"5,88051022"
72,Name not specified,Earthquake,No Disaster Associated,No Disaster Associated,7.0,Richter,No,No,No,"5,88051022"
73,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"5,88051022"
74,Felipe,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"5,88051022"
75,Name not specified,Volacno and landslide,No Disaster Associated,No Disaster Associated,3.0,Richter,No,No,No,"5,88051022"
76,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,88051022"
77,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"5,720961493"
78,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,720961493"
79,San Zenon,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,720961493"
80,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"5,720961493"
81,Mt. Merapi,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"5,720961493"
82,Name not specified,Unknown Origin,Heat wave,No Disaster Associated,Unknown,Km2,No,No,No,"5,208126299"
83,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"5,208126299"
84,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,208126299"
85,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"5,208126299"
86,Mt. Merapi,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"5,208126299"
87,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"4,672498431"
88,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"4,672498431"
89,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"4,672498431"
90,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"4,43317534"
91,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,43317534"
92,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"4,581327729"
93,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"4,695291106"
94,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,150000.0,Km2,No,No,No,"4,695291106"
95,Jeremie & Jacmel,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"4,695291106"
96,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"4,752272794"
97,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,�C,No,Unknown,Unknown,"4,752272794"
98,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"4,752272794"
99,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"4,752272794"
100,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"4,923217859"
101,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"4,923217859"
102,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"4,82065082"
103,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"4,763669132"
104,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"4,763669132"
105,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,5000.0,Km2,No,Unknown,Unknown,"4,763669132"
106,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,763669132"
107,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"4,797858145"
108,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,797858145"
109,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,797858145"
110,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,037181235"
111,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"5,595601779"
112,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,595601779"
113,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"5,595601779"
114,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"5,92609557"
115,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"5,92609557"
116,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,92609557"
117,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"5,92609557"
118,Name not specified,Unknown Origin,Surge,No Disaster Associated,262.0,Kph,No,No,No,"6,028662609"
119,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"6,028662609"
120,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,5000.0,Km2,No,Unknown,Unknown,"6,028662609"
121,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"6,028662609"
122,Polio,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,165418661"
123,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"6,165418661"
124,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"6,678253854"
125,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"6,678253854"
126,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"6,678253854"
127,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"6,678253854"
128,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"7,646942553"
129,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"7,646942553"
130,Cholera,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"7,646942553"
131,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"8,228155773"
132,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"8,228155773"
133,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"8,228155773"
134,Name not specified,Unknown Origin,"Slide (land, mud, snow, rock)",No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"8,148381409"
135,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"8,148381409"
136,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"8,148381409"
137,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"8,148381409"
138,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"8,148381409"
139,Purace,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"8,148381409"
140,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"8,148381409"
141,Name not specified,Unknown Origin,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,9.0,Richter,No,Unknown,Unknown,"8,23955211"
142,Dog,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"8,23955211"
143,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"8,23955211"
144,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"8,23955211"
145,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"8,23955211"
146,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"8,23955211"
147,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"8,889143356"
148,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"8,889143356"
149,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"8,889143356"
150,Mt. Merapi,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"8,889143356"
151,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"9,094277433"
152,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,094277433"
153,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,094277433"
154,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"9,094277433"
155,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"9,162655459"
156,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"9,162655459"
157,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"9,162655459"
158,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,162655459"
159,Polio,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"9,162655459"
160,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"9,162655459"
161,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,162655459"
162,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,�C,No,Unknown,Unknown,"9,162655459"
163,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"9,196844472"
164,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"9,196844472"
165,Alice,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,196844472"
166,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"9,196844472"
167,Hazel,Unknown Origin,No Disaster Associated,No Disaster Associated,249.0,Kph,No,No,No,"9,196844472"
168,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,196844472"
169,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"9,196844472"
170,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"9,196844472"
171,Name not specified,Unknown Origin,Flood,No Disaster Associated,Unknown,Kph,No,No,No,"9,149004407"
172,Alice,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,149004407"
173,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,149004407"
174,Janet,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,149004407"
175,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"9,149004407"
176,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"9,149004407"
177,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"9,149004407"
178,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,149004407"
179,Name not specified,Unknown Origin,Tsunami/Tidal wave,Volcanic activity,8.0,Richter,No,Unknown,Unknown,"9,288531531"
180,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"9,288531531"
181,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,288531531"
182,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"9,288531531"
183,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,288531531"
184,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"9,288531531"
185,Betsy,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,288531531"
186,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"9,288531531"
187,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,598904063"
188,Gloria,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,598904063"
189,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,860877819"
190,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,860877819"
191,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,No,No,"9,860877819"
192,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"9,860877819"
193,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"9,860877819"
194,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"9,860877819"
195,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,�C,No,Unknown,Unknown,"9,860877819"
196,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,960542364"
197,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,960542364"
198,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"9,960542364"
199,Ellen,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,960542364"
200,Iris,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"9,960542364"
201,Name not specified,Unknown Origin,Volcanic activity,Tsunami/Tidal wave,10.0,Richter,No,Unknown,Unknown,"10,10576299"
202,Donna,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"10,10576299"
203,Donna,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,10576299"
204,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,10576299"
205,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"10,10576299"
206,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"10,10576299"
207,Mary,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,10576299"
208,Name not specified,Late arrival of rain,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"10,10576299"
209,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,21396373"
210,Hattie,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"10,21396373"
211,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"10,21396373"
212,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"10,21396373"
213,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"10,21396373"
214,Olga,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,21396373"
215,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,�C,No,Unknown,Unknown,"10,21396373"
216,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"10,33641036"
217,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"10,33641036"
218,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"10,33641036"
219,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"10,33641036"
220,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"10,33641036"
221,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"10,33641036"
