DateKey,Year,Month,MonthName,Day,Decade,Semester,Season,Quarter,Weekday,WeekdayName,Local_time,Hour,Minutes
55,1922,9,September,30,1920s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
56,1922,7,July,27,1920s,2nd Semester,Summer,3rd Quarter,5,Thursday,Unknown,Unknown,Unknown
57,1923,1,January,Unknown,1920s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
58,1923,5,May,7,1920s,1st Semester,Spring,2nd Quarter,2,Monday,Unknown,Unknown,Unknown
59,1923,3,March,24,1920s,1st Semester,Spring,2nd Quarter,7,Saturday,19:46,19,46
60,1923,8,August,12,1920s,2nd Semester,Summer,3rd Quarter,1,Sunday,Unknown,Unknown,Unknown
61,1924,3,March,3,1920s,1st Semester,Winter,2nd Quarter,2,Monday,03:01,3,1
62,1924,12,December,2,1920s,2nd Semester,Fall,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
63,1924,9,September,23,1920s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
64,1924,Unknown,Unknown,Unknown,1920s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
65,1925,3,March,16,1920s,1st Semester,Winter,2nd Quarter,2,Monday,21:48,21,48
66,1925,12,December,Unknown,1920s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
67,1925,5,May,10,1920s,1st Semester,Spring,2nd Quarter,1,Sunday,Unknown,Unknown,Unknown
68,1926,5,May,19,1920s,1st Semester,Spring,2nd Quarter,4,Wednesday,Unknown,Unknown,Unknown
69,1926,7,July,26,1920s,2nd Semester,Summer,3rd Quarter,2,Monday,Unknown,Unknown,Unknown
70,1926,11,November,5,1920s,2nd Semester,Fall,4th Quarter,6,Friday,Unknown,Unknown,Unknown
71,1926,10,October,20,1920s,2nd Semester,Summer,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
72,1926,6,June,Unknown,1920s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
73,1926,6,June,26,1920s,2nd Semester,Spring,3rd Quarter,7,Saturday,Unknown,Unknown,Unknown
74,1926,11,November,24,1920s,2nd Semester,Fall,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
75,1926,7,July,19,1920s,2nd Semester,Spring,3rd Quarter,2,Monday,Unknown,Unknown,Unknown
76,1926,Unknown,Unknown,Unknown,1920s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
77,1927,12,December,1,1920s,2nd Semester,Fall,4th Quarter,5,Thursday,11:37,11,37
78,1927,5,May,23,1920s,1st Semester,Spring,2nd Quarter,2,Monday,05:38,5,38
79,1927,9,September,26,1920s,2nd Semester,Summer,4th Quarter,2,Monday,Unknown,Unknown,Unknown
80,1927,11,November,1,1920s,2nd Semester,Fall,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
81,1927,7,July,23,1920s,2nd Semester,Summer,3rd Quarter,7,Saturday,Unknown,Unknown,Unknown
82,1928,Unknown,Unknown,Unknown,1920s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
83,1928,4,April,14,1920s,1st Semester,Spring,2nd Quarter,7,Saturday,Unknown,Unknown,Unknown
84,1928,11,November,18,1920s,2nd Semester,Fall,4th Quarter,1,Sunday,Unknown,Unknown,Unknown
85,1928,9,September,15,1920s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
86,1928,8,August,4,1920s,2nd Semester,Summer,3rd Quarter,7,Saturday,Unknown,Unknown,Unknown
87,1928,10,October,19,1920s,2nd Semester,Summer,4th Quarter,6,Friday,Unknown,Unknown,Unknown
88,1929,9,September,26,1920s,2nd Semester,Summer,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
89,1929,7,July,Unknown,1920s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
90,1930,12,December,2,1930s,2nd Semester,Fall,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
91,1930,9,September,3,1930s,2nd Semester,Summer,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
92,1930,11,November,13,1930s,2nd Semester,Fall,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
93,1930,6,June,13,1930s,2nd Semester,Spring,3rd Quarter,6,Friday,Unknown,Unknown,Unknown
94,1930,Unknown,Unknown,Unknown,1930s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
95,1931,1,January,Unknown,1930s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
96,1931,7,July,Unknown,1930s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
97,1931,9,September,10,1930s,2nd Semester,Summer,4th Quarter,5,Thursday,Unknown,Unknown,Unknown
98,1931,2,February,14,1930s,1st Semester,Winter,1st Quarter,7,Saturday,Unknown,Unknown,Unknown
99,1931,2,February,16,1930s,1st Semester,Winter,1st Quarter,2,Monday,Unknown,Unknown,Unknown
100,1931,12,December,13,1930s,2nd Semester,Fall,4th Quarter,1,Sunday,Unknown,Unknown,Unknown
101,1932,11,November,9,1930s,2nd Semester,Fall,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
102,1932,5,May,8,1930s,1st Semester,Spring,2nd Quarter,1,Sunday,Unknown,Unknown,Unknown
103,1932,5,May,14,1930s,1st Semester,Spring,2nd Quarter,7,Saturday,21:08,21,8
104,1933,8,August,25,1930s,2nd Semester,Summer,3rd Quarter,6,Friday,14:50,14,50
105,1933,Unknown,Unknown,Unknown,1930s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
106,1934,3,March,23,1930s,1st Semester,Spring,2nd Quarter,6,Friday,Unknown,Unknown,Unknown
107,1935,9,September,29,1930s,2nd Semester,Summer,4th Quarter,1,Sunday,Unknown,Unknown,Unknown
108,1935,Unknown,Unknown,Unknown,1930s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
109,1935,9,September,28,1930s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
110,1935,10,October,21,1930s,2nd Semester,Summer,4th Quarter,2,Monday,Unknown,Unknown,Unknown
111,1935,11,November,13,1930s,2nd Semester,Fall,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
112,1936,8,August,24,1930s,2nd Semester,Summer,3rd Quarter,2,Monday,04:12,4,12
113,1936,7,July,6,1930s,2nd Semester,Spring,3rd Quarter,2,Monday,Unknown,Unknown,Unknown
114,1936,9,September,9,1930s,2nd Semester,Summer,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
115,1936,10,October,28,1930s,2nd Semester,Fall,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
116,1937,10,October,11,1930s,2nd Semester,Summer,4th Quarter,2,Monday,Unknown,Unknown,Unknown
117,1937,9,September,1,1930s,2nd Semester,Summer,4th Quarter,4,Wednesday,Unknown,Unknown,Unknown
118,1938,5,May,20,1930s,1st Semester,Spring,2nd Quarter,6,Friday,01:08,1,8
119,1939,1,January,24,1930s,1st Semester,Winter,1st Quarter,3,Tuesday,23:32,23,32
120,1939,6,June,22,1930s,2nd Semester,Spring,3rd Quarter,5,Thursday,19:19,19,19
121,1939,Unknown,Unknown,Unknown,1930s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
122,1939,7,July,Unknown,1930s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
123,1940,Unknown,Unknown,Unknown,1940s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
124,1941,5,May,21,1940s,1st Semester,Spring,2nd Quarter,4,Wednesday,Unknown,Unknown,Unknown
125,1941,2,February,19,1940s,1st Semester,Winter,1st Quarter,4,Wednesday,Unknown,Unknown,Unknown
126,1942,Unknown,Unknown,Unknown,1940s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
127,1942,10,October,Unknown,1940s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
128,1942,1,January,3,1940s,1st Semester,Winter,1st Quarter,7,Saturday,Unknown,Unknown,Unknown
129,1942,2,February,19,1940s,1st Semester,Winter,1st Quarter,5,Thursday,Unknown,Unknown,Unknown
130,1942,5,May,13,1940s,1st Semester,Spring,2nd Quarter,4,Wednesday,21:13,21,13
